Date,Nb_Produit,CA,Nb_Clients,TempMoy,Precipitations,Jour_semaine,Mois,Annee
2023-07-05,582.0,1535.0,191,16.4,0.4,2,7,2023
2023-07-06,761.0,1017.15,213,18.3,0.0,3,7,2023
2023-07-07,636.0,994.9,188,23.3,0.0,4,7,2023
2023-07-08,937.5,1710.3,228,22.9,0.4,5,7,2023
2023-07-09,1342.53,2081.01,344,20.2,0.2,6,7,2023
2023-07-12,917.5,1424.22,315,18.3,0.0,2,7,2023
2023-07-13,975.0,1653.91,376,19.0,0.2,3,7,2023
2023-07-14,924.0,1529.5,247,20.4,3.0,4,7,2023
2023-07-15,1144.0,2054.2,320,18.5,10.3,5,7,2023
2023-07-16,1144.5,1775.1,326,17.6,1.4,6,7,2023
2023-07-19,940.0,1140.96,308,18.2,0.0,2,7,2023
2023-07-20,869.0,1218.45,353,17.5,1.0,3,7,2023
2023-07-21,765.5,1160.23,272,17.7,0.0,4,7,2023
2023-07-22,1047.5,1848.05,331,17.3,0.4,5,7,2023
2023-07-23,1257.0,2103.4,342,18.4,14.9,6,7,2023
2023-07-26,847.5,3387.27,303,18.4,0.2,2,7,2023
2023-07-27,803.5,1201.2,287,18.1,10.6,3,7,2023
2023-07-28,782.0,1178.58,260,20.5,0.0,4,7,2023
2023-07-29,1212.5,1996.25,339,19.1,3.2,5,7,2023
2023-07-30,1269.0,2121.83,287,17.8,0.0,6,7,2023
2023-08-23,428.5,693.47,178,22.4,0.0,2,8,2023
2023-08-24,531.0,686.4,222,22.1,0.2,3,8,2023
2023-08-25,646.5,908.7,195,18.2,0.0,4,8,2023
2023-08-26,878.0,1509.07,236,15.5,6.3,5,8,2023
2023-08-27,1294.0,1972.17,337,15.7,0.6,6,8,2023
2023-08-30,580.5,792.65,220,16.8,0.0,2,8,2023
2023-08-31,636.5,1434.48,213,17.9,1.6,3,8,2023
2023-09-01,603.5,868.52,190,19.7,0.0,4,9,2023
2023-09-02,865.0,1424.69,258,19.6,0.2,5,9,2023
2023-09-03,1395.0,2091.11,366,23.6,0.0,6,9,2023
2023-09-06,467.0,640.02,183,24.6,0.0,2,9,2023
2023-09-07,467.0,695.82,213,25.1,0.0,3,9,2023
2023-09-08,539.0,766.65,142,24.6,0.2,4,9,2023
2023-09-09,886.0,1540.48,247,25.4,0.0,5,9,2023
2023-09-10,1512.5,2055.45,494,22.9,3.4,6,9,2023
2023-09-13,618.5,2528.52,211,17.1,0.2,2,9,2023
2023-09-14,482.5,679.75,213,17.4,0.2,3,9,2023
2023-09-15,514.0,761.3,184,20.9,0.0,4,9,2023
2023-09-16,885.5,1858.23,219,20.6,2.0,5,9,2023
2023-09-17,1353.0,2010.7,366,20.9,3.4,6,9,2023
2023-09-20,644.0,933.75,231,19.0,34.7,2,9,2023
2023-09-21,505.5,664.75,213,14.7,7.2,3,9,2023
2023-09-22,656.0,1026.3,202,13.5,0.0,4,9,2023
2023-09-23,859.5,1471.08,240,13.1,0.0,5,9,2023
2023-09-24,1283.0,2076.95,342,16.9,0.0,6,9,2023
2023-09-27,761.0,1602.76,270,17.6,0.2,2,9,2023
2023-09-28,617.5,908.33,249,17.1,1.0,3,9,2023
2023-09-29,593.0,842.89,224,17.1,0.2,4,9,2023
2023-09-30,1218.5,2129.53,338,16.4,0.0,5,9,2023
2023-10-01,1791.0,2721.85,405,19.7,0.4,6,10,2023
2023-10-04,689.0,911.7,241,12.7,0.0,2,10,2023
2023-10-05,631.0,841.88,243,13.5,0.0,3,10,2023
2023-10-06,573.0,944.65,203,14.3,0.0,4,10,2023
2023-10-07,1005.5,1891.57,260,16.3,0.2,5,10,2023
2023-10-08,1484.0,2385.61,356,17.1,0.2,6,10,2023
2023-10-11,585.5,831.21,244,17.7,0.0,2,10,2023
2023-10-12,596.0,853.73,236,19.7,0.0,3,10,2023
2023-10-13,488.5,701.97,192,19.4,1.4,4,10,2023
2023-10-14,882.5,1404.91,266,13.3,0.0,5,10,2023
2023-10-15,1371.5,2162.15,353,10.0,0.0,6,10,2023
2023-10-18,531.0,757.93,204,17.2,15.1,2,10,2023
2023-10-19,662.0,789.8,215,16.1,4.9,3,10,2023
2023-10-20,623.0,938.45,201,14.2,4.6,4,10,2023
2023-10-21,873.5,1408.91,225,12.7,9.3,5,10,2023
2023-10-22,1407.0,2295.5,355,12.9,0.0,6,10,2023
